tipo,referencia,valor_aproximado,valor_exacto,error_absoluto,error_relativo_pct,clasificacion
representacion,2022-01 Enero,820.00,822.05,2.0500,0.2494,
representacion,2022-02 Febrero,810.00,807.07,2.9300,0.3630,
representacion,2022-03 Marzo,800.00,799.19,0.8100,0.1014,
representacion,2022-04 Abril,820.00,815.12,4.8800,0.5987,
representacion,2022-05 Mayo,850.00,849.39,0.6100,0.0718,
representacion,2022-06 Junio,860.00,857.77,2.2300,0.2600,
representacion,2022-07 Julio,950.00,953.71,3.7100,0.3890,
representacion,2022-08 Agosto,900.00,904.35,4.3500,0.4810,
representacion,2022-09 Septiembre,920.00,921.01,1.0100,0.1097,
representacion,2022-10 Octubre,960.00,955.89,4.1100,0.4300,
representacion,2022-11 Noviembre,920.00,917.05,2.9500,0.3217,
representacion,2022-12 Diciembre,880.00,875.66,4.3400,0.4956,
representacion,2023-01 Enero,830.00,826.34,3.6600,0.4429,
representacion,2023-02 Febrero,800.00,798.26,1.7400,0.2180,
representacion,2023-03 Marzo,810.00,809.50,0.5000,0.0618,
representacion,2023-04 Abril,800.00,803.84,3.8400,0.4777,
representacion,2023-05 Mayo,800.00,798.64,1.3600,0.1703,
representacion,2023-06 Junio,800.00,799.87,0.1300,0.0163,
representacion,2023-07 Julio,810.00,813.40,3.4000,0.4180,
representacion,2023-08 Agosto,860.00,855.66,4.3400,0.5072,
representacion,2023-09 Septiembre,880.00,884.40,4.4000,0.4975,
representacion,2023-10 Octubre,930.00,926.35,3.6500,0.3940,
representacion,2023-11 Noviembre,890.00,886.61,3.3900,0.3824,
representacion,2023-12 Diciembre,870.00,874.67,4.6700,0.5339,
representacion,2024-01 Enero,910.00,907.99,2.0100,0.2214,
representacion,2024-02 Febrero,960.00,963.44,3.4400,0.3571,
representacion,2024-03 Marzo,970.00,967.93,2.0700,0.2139,
representacion,2024-04 Abril,960.00,960.14,0.1400,0.0146,
representacion,2024-05 Mayo,920.00,917.88,2.1200,0.2310,
representacion,2024-06 Junio,930.00,926.08,3.9200,0.4233,
representacion,2024-07 Julio,940.00,937.56,2.4400,0.2603,
representacion,2024-08 Agosto,930.00,929.90,0.1000,0.0108,
representacion,2024-09 Septiembre,930.00,926.21,3.7900,0.4092,
representacion,2024-10 Octubre,930.00,933.81,3.8100,0.4080,
representacion,2024-11 Noviembre,970.00,971.60,1.6000,0.1647,
representacion,2024-12 Diciembre,980.00,982.30,2.3000,0.2341,
representacion,2025-01 Enero,1000.00,1000.76,0.7600,0.0759,
representacion,2025-02 Febrero,960.00,956.62,3.3800,0.3533,
representacion,2025-03 Marzo,930.00,932.55,2.5500,0.2734,
representacion,2025-04 Abril,960.00,961.96,1.9600,0.2038,
representacion,2025-05 Mayo,940.00,941.01,1.0100,0.1073,
representacion,2025-06 Junio,940.00,938.04,1.9600,0.2089,
representacion,2025-07 Julio,950.00,951.55,1.5500,0.1629,
representacion,2025-08 Agosto,970.00,966.30,3.7000,0.3829,
representacion,2025-09 Septiembre,960.00,960.37,0.3700,0.0385,
representacion,2025-10 Octubre,950.00,953.97,3.9700,0.4162,
representacion,2025-11 Noviembre,940.00,935.70,4.3000,0.4595,
representacion,2025-12 Diciembre,920.00,916.16,3.8400,0.4191,
variacion_mensual,2022-01 Enero -> 2022-02 Febrero,-10.00,-14.98,4.9800,49.80,DUDOSO
variacion_mensual,2022-02 Febrero -> 2022-03 Marzo,-10.00,-7.88,3.7400,37.40,DUDOSO
variacion_mensual,2022-03 Marzo -> 2022-04 Abril,20.00,15.93,5.6900,28.45,DUDOSO
variacion_mensual,2022-04 Abril -> 2022-05 Mayo,30.00,34.27,5.4900,18.30,DUDOSO
variacion_mensual,2022-05 Mayo -> 2022-06 Junio,10.00,8.38,2.8400,28.40,DUDOSO
variacion_mensual,2022-06 Junio -> 2022-07 Julio,90.00,95.94,5.9400,6.60,CONFIABLE
variacion_mensual,2022-07 Julio -> 2022-08 Agosto,-50.00,-49.36,8.0600,16.12,DUDOSO
variacion_mensual,2022-08 Agosto -> 2022-09 Septiembre,20.00,16.66,5.3600,26.80,DUDOSO
variacion_mensual,2022-09 Septiembre -> 2022-10 Octubre,40.00,34.88,5.1200,12.80,DUDOSO
variacion_mensual,2022-10 Octubre -> 2022-11 Noviembre,-40.00,-38.84,7.0600,17.65,DUDOSO
variacion_mensual,2022-11 Noviembre -> 2022-12 Diciembre,-40.00,-41.39,7.2900,18.23,DUDOSO
variacion_mensual,2022-12 Diciembre -> 2023-01 Enero,-50.00,-49.32,8.0000,16.00,DUDOSO
variacion_mensual,2023-01 Enero -> 2023-02 Febrero,-30.00,-28.08,5.4000,18.00,DUDOSO
variacion_mensual,2023-02 Febrero -> 2023-03 Marzo,10.00,11.24,2.2400,22.40,DUDOSO
variacion_mensual,2023-03 Marzo -> 2023-04 Abril,-10.00,-5.66,4.3400,43.40,DUDOSO
variacion_mensual,2023-04 Abril -> 2023-05 Mayo,0.00,-5.20,5.2000,inf,INDECIDIBLE
variacion_mensual,2023-05 Mayo -> 2023-06 Junio,0.00,1.23,1.4900,inf,INDECIDIBLE
variacion_mensual,2023-06 Junio -> 2023-07 Julio,10.00,13.53,3.5300,35.30,DUDOSO
variacion_mensual,2023-07 Julio -> 2023-08 Agosto,50.00,42.26,7.7400,15.48,DUDOSO
variacion_mensual,2023-08 Agosto -> 2023-09 Septiembre,20.00,28.74,8.7400,43.70,DUDOSO
variacion_mensual,2023-09 Septiembre -> 2023-10 Octubre,50.00,41.95,8.0500,16.10,DUDOSO
variacion_mensual,2023-10 Octubre -> 2023-11 Noviembre,-40.00,-39.74,7.0400,17.60,DUDOSO
variacion_mensual,2023-11 Noviembre -> 2023-12 Diciembre,-20.00,-11.94,8.0600,40.30,DUDOSO
variacion_mensual,2023-12 Diciembre -> 2024-01 Enero,40.00,33.32,6.6800,16.70,DUDOSO
variacion_mensual,2024-01 Enero -> 2024-02 Febrero,50.00,55.45,5.4500,10.90,DUDOSO
variacion_mensual,2024-02 Febrero -> 2024-03 Marzo,10.00,4.49,5.5100,55.10,DUDOSO
variacion_mensual,2024-03 Marzo -> 2024-04 Abril,-10.00,-7.79,2.2100,22.10,DUDOSO
variacion_mensual,2024-04 Abril -> 2024-05 Mayo,-40.00,-42.26,2.2600,5.65,CONFIABLE
variacion_mensual,2024-05 Mayo -> 2024-06 Junio,10.00,8.20,6.0400,60.40,DUDOSO
variacion_mensual,2024-06 Junio -> 2024-07 Julio,10.00,11.48,6.3600,63.60,DUDOSO
variacion_mensual,2024-07 Julio -> 2024-08 Agosto,-10.00,-7.66,2.5400,25.40,DUDOSO
variacion_mensual,2024-08 Agosto -> 2024-09 Septiembre,0.00,-3.69,3.8900,inf,INDECIDIBLE
variacion_mensual,2024-09 Septiembre -> 2024-10 Octubre,0.00,7.60,7.6000,inf,INDECIDIBLE
variacion_mensual,2024-10 Octubre -> 2024-11 Noviembre,40.00,37.79,5.4100,13.52,DUDOSO
variacion_mensual,2024-11 Noviembre -> 2024-12 Diciembre,10.00,10.70,3.9000,39.00,DUDOSO
variacion_mensual,2024-12 Diciembre -> 2025-01 Enero,20.00,18.46,3.0600,15.30,DUDOSO
variacion_mensual,2025-01 Enero -> 2025-02 Febrero,-40.00,-44.14,4.1400,10.35,DUDOSO
variacion_mensual,2025-02 Febrero -> 2025-03 Marzo,-30.00,-24.07,5.9300,19.77,DUDOSO
variacion_mensual,2025-03 Marzo -> 2025-04 Abril,30.00,29.41,4.5100,15.03,DUDOSO
variacion_mensual,2025-04 Abril -> 2025-05 Mayo,-20.00,-20.95,2.9700,14.85,DUDOSO
variacion_mensual,2025-05 Mayo -> 2025-06 Junio,0.00,-2.97,2.9700,inf,INDECIDIBLE
variacion_mensual,2025-06 Junio -> 2025-07 Julio,10.00,13.51,3.5100,35.10,DUDOSO
variacion_mensual,2025-07 Julio -> 2025-08 Agosto,20.00,14.75,5.2500,26.25,DUDOSO
variacion_mensual,2025-08 Agosto -> 2025-09 Septiembre,-10.00,-5.93,4.0700,40.70,DUDOSO
variacion_mensual,2025-09 Septiembre -> 2025-10 Octubre,-10.00,-6.40,4.3400,43.40,DUDOSO
variacion_mensual,2025-10 Octubre -> 2025-11 Noviembre,-10.00,-18.27,8.2700,82.70,DUDOSO
variacion_mensual,2025-11 Noviembre -> 2025-12 Diciembre,-20.00,-19.54,8.1400,40.70,DUDOSO
variacion_anual,2022 enero->diciembre,60.00,53.61,6.3900,10.65,DUDOSO
variacion_anual,2023 enero->diciembre,40.00,48.33,8.3300,20.82,DUDOSO
variacion_anual,2024 enero->diciembre,70.00,74.31,4.3100,6.16,CONFIABLE
variacion_anual,2025 enero->diciembre,-80.00,-84.60,4.6000,5.75,CONFIABLE
compra_venta,A2: compra 2022-01 / venta 2022-10,170731.71,162812.48,7953.2763,4.66,CONFIABLE
compra_venta,A5: compra minimo / venta maximo,250000.00,253676.75,3673.9547,1.47,CONFIABLE
